[AUDIO SERVER] Audio output: pyaudio
[AUDIO SERVER] Listening on UDP port 7000
[AUDIO SERVER] Waiting for microphone audio from clients...
[AUDIO SERVER] Stream from 127.0.0.1:54140
[AUDIO SERVER] Stream from 127.0.0.1:54141
[AUDIO SERVER] Packets: 100  Bytes: 204800
[AUDIO SERVER] Packets: 200  Bytes: 409600
[AUDIO SERVER] Packets: 300  Bytes: 614400
[AUDIO SERVER] Packets: 400  Bytes: 819200
[AUDIO SERVER] Packets: 500  Bytes: 1024000
[AUDIO SERVER] Packets: 600  Bytes: 1228800
[AUDIO SERVER] Packets: 700  Bytes: 1433600
[AUDIO SERVER] Packets: 800  Bytes: 1638400
[AUDIO SERVER] Packets: 900  Bytes: 1843200
[AUDIO SERVER] Packets: 1000  Bytes: 2048000
[AUDIO SERVER] Packets: 1100  Bytes: 2252800
[AUDIO SERVER] Packets: 1200  Bytes: 2457600
[AUDIO SERVER] Packets: 1300  Bytes: 2662400
[AUDIO SERVER] Packets: 1400  Bytes: 2867200
[AUDIO SERVER] Packets: 1500  Bytes: 3072000
